title,price,sleeping_capacity,season
"White Duck Outdoors
Rover Scout FR Tent - 8' x 13'",$790.00,4-person,4-season
"REI Co-op
Flash 3 Tent",$499.00,3-person,3 lbs. 7.6 oz.
"MSR
FreeLite 2 Tent",$449.95,2-person,2 lbs.
"Marmot
Limestone Lanai Shelter",$278.73,11 lbs. 8.8 oz.,109.8 sq. ft.
"Sierra Designs
Convert 3 Tent",$419.73,3-person,6 lbs. 8 oz.
"Kammok
Sunda 2.0 Tent with Footprint",$275.73,2-person,4 lbs. 3.5 oz.
"REI Co-op
Trailmade Backpacking Bundle",$379.00,2-person,3-season
"Big Agnes
Bunk House 4 Tent",$599.95,4-person,3-season
"Yakima
SkyRise HD Tent","$2,699.00",3-person,154 lbs. 4.8 oz.
"The North Face
Mountain 25 Tent with Footprint",$690.00,2-person,8 lbs. 13 oz.
"Big Agnes
Copper Spur Limited 2 Tent with Footprint",$599.95,2-person,2 lbs. 7 oz.
"Coghlan's
Camping Fan with Light",$35.00,15.52 ounces,7.87 x 3.13 in.
"Yakima
SkyRise SL Tent","$1,999.00",3-person,143 lbs.
"Marmot
Limelight 3P Tent with Footprint",$359.00,3-person,5 lbs. 14.9 oz.
"NEMO
Hornet OSMO 3P Ultralight Tent",$549.95,3-person,2 lbs. 13 oz.
"Snow Peak
Amenity Dome Tent - Small",$324.95,2-person,3-season
"Kelty
Cabana Shelter",$109.95,7 lbs. 5 oz.,45.5 sq. ft.
"Big Agnes
Wyoming Trail 2 Tent",$454.73,2-person,45.5 sq. ft.
"Neso
Sidelines Grande Sunshade",$71.83,5 lbs. 14 oz.,52.1 sq. ft.
"Coleman
Skydome Dark Room 8-Person Tent",$274.95,8+ people,3-season
"Outdoor Research
Bug Bivy",$99.00,1-person,2-season
"NEMO
Dragonfly Bikepack OSMO 2P Tent",$579.95,2-person,2-season
"Kelty
Waypoint Car Tarp",$139.95,8 lbs. 5 oz.,85 sq. ft.
"Snow Peak
Land Nest Solo Inner Tent with Footprint",$204.95,1-person,3-season
"REI Co-op
Half Dome Tarp",$99.95,1 lb. 10.6 oz. (minimum),100 sq. ft.
"Big Agnes
Copper Spur HV UL3 Bikepack Tent",$629.95,3-person,3-season
"SOL
Escape Lite Bivy",$54.95,1-person,3-season
"Snow Peak
Entry Pack Tent and Tarp Set",$647.95,4-person,3-season
"MSR
Mini Ground Hog Stake",$4.95,0.35 ounces,3-season
"REI Co-op
Arete ASL 2 Tent",$449.00,2-person,5 lbs. 10 oz.
"Big Agnes
Copper Spur UL3 XL Tent",$629.95,3-person,3 lbs. 9 oz.
"Coghlan's
Tent Peg Mallet / Puller",$6.95,Heavy-duty plastic,7 ounces
"Mountain Hardwear
Mineral King 3 Tent with Footprint",$375.00,3-person,6 lbs. 10.8 oz.
"iKamper
Skycamp 3.0 Tent","$4,395.00 - $4,695.00",4-person,230 lbs.
"MSR
Hubba Hubba LT 3 Tent",$629.95,3-person,4 lbs. 6 oz.
"Big Agnes
Copper Spur UL2 XL Tent",$579.95,2-person,2 lbs. 14 oz.
"MSR
Elixir 1 Tent with Footprint",$269.95,1-person,4 lbs. 1 oz.
"Big Agnes
Crag Lake 2 Tent",$349.95,2-person,3 lbs. 12 oz.
"NEMO
Hornet Elite OSMO 2P Tent",$659.95,2-person,1 lb. 11 oz.
"White Duck Outdoors
Rover Scout FR Tent - 8' x 9'",$670.00,3-person,4-season
"Big Agnes
Tiger Wall UL3 Tent",$529.95,3-person,2 lbs. 10 oz.
"Coghlan's
Tent Whisk with Dust Pan",$5.45,3.5 ounces,2 lbs. 10 oz.
"REI Co-op
Steel Stake",$2.00,2.7 ounces,8.25 in.
"Big Agnes
Blacktail 4 Tent",$349.95,4-person,7 lbs. 12 oz.
"Zempire
Evo TM V2 Air Tent","$1,000.00",4-person,3-season
"ALPS Mountaineering
Chaos 2 Floor Saver Footprint",$23.73,11 ounces,84 x 54 in.
"REI Co-op
Screen House Rainfly",$69.93,3 lbs. 10 oz.,84 x 54 in.
"Mountain Hardwear
Trango 4 Tent","$1,250.00",4-person,11 lbs. 7.5 oz.
"Zempire
Pro TM V2 Inflatable Air Tent","$1,500.00",6-person,3-season
"MSR
Hubba Hubba Bikepack 1 Tent",$499.95,1-person,3-season
"SOL
Escape Bivy with Hood",$52.50,1-person,4-season
"Big Agnes
Tiger Wall UL1 Tent",$429.95,1-person,1 lb. 13 oz.
"Gear Aid
Tent Pole Splint",$5.95,"0.625 in., 0.5 in.",0.8 ounce
"Big Agnes
Salt Creek SL2 Tent",$349.95,2-person,3 lbs. 11 oz.
"The North Face
VE 25 Tent with Footprint",$750.00,3-person,9 lbs. 8 oz.
"Kammok
Kuhli Ultralight Weather Shelter",$179.95,1-person,10 ounces
"Marmot
Limelight Ultralight 3-Person Tent",$549.00,3-person,3 lbs. 4.8 oz.
"Big Agnes
mtnGLO Tent Camp Lights",$34.95,5.5 in.,2 ounces
"Mountain Hardwear
Mineral King 2 All Season Tent with Footprint",$500.00,2-person,5 lbs. 8.3 oz.
"Mountain Hardwear
Aspect 2 Tent",$530.00,2-person,2 lbs. 14.7 oz.
"Big Agnes
Blacktail 3 Tent",$299.95,3-person,5 lbs. 10 oz.
"Big Agnes
Blacktail Hotel 2 Tent",$299.95,2-person,5 lbs. 9 oz.
"Coleman
PEAK1 3-Person Backpacking Tent with Footprint",$354.95,3-person,6 lbs. 4.6 oz
"REI Co-op
Flash Air Tarp",$179.00,1 lb. 4 oz.,87.59 sq. ft.
"NEMO
Aurora 3 Backpacking Tent with Footprint",$359.95,3-person,5 lbs. 12 oz.
"Big Agnes
Fly Creek HV UL2 Solution-Dyed Bikepack Tent",$449.95,2-person,5 lbs. 12 oz.
"Marmot
Limelight 2P with Footprint",$299.00,2-person,4 lbs. 15.4 oz.
"ALPS Mountaineering
Starlight Air Pump",$29.73,1.75 x 2.38 in.,3.6 ounces
"Big Agnes
Blacktail 2 Tent",$249.95,2-person,5 lbs.
"NEMO
Dragonfly Bikepack OSMO 1P Tent",$519.95,1-person,5 lbs.
"Mountainsmith
Morrison EVO 4 Tent with Footprint",$269.95,4-person,7 lbs. 1 oz.
"MSR
Access 3 Tent",$643.93,3-person,4 lbs. 6 oz.
"Big Agnes
Crag Lake 3 Tent",$399.95,3-person,4 lbs. 4 oz.
"Mountain Hardwear
Trango 2 Tent",$950.00,2-person,8 lbs. 9.7 oz.
"Big Agnes
Sage Canyon Shelter Deluxe",$313.73,12 lbs. 10 oz.,100 sq. ft.
"Big Agnes
Wyoming Trail 4 Footprint",$69.73,1 lb. 13 oz.,168 x 86 in.
"Mountainsmith
Morrison EVO 2 Tent with Footprint",$229.95,2-person,5 lbs. 9 oz.
"Snow Peak
Land Nest Shelter",$749.95,4-person,2-season
"Gazelle
G6 6-Sided Portable Gazebo",$399.95,34 lbs.,92 sq. ft.
"The North Face
Trail Lite 2 Tent",$325.00,2-person,4 lbs. 6.9 oz.
"MSR
Hubba Hubba Bikepack 2 Tent",$579.95,2-person,4 lbs. 6.9 oz.
"MSR
FreeLite 3 Tent",$539.95,3-person,2 lbs. 6 oz.
"Big Agnes
Sage Canyon Shelter",$224.73,7 lbs. 5 oz.,64 sq. ft.
"Marmot
Limelight Ultralight 2-Person Tent",$479.00,2-person,2 lbs. 14.9 oz.
"CGear Multimats
Original Sand-Free Mat",$64.95 - $144.95,"72 x 72 in., 96 x 96 in., 120 x 120 in., 144 x 144 in.","3 lbs. 2.4 oz., 5 lbs. 9.6 oz., 8 lbs. 8 oz., 11 lbs. 11.2 oz."
"Big Agnes
Salt Creek SL3 Tent",$399.95,3-person,4 lbs. 11 oz.
"The North Face
Trail Lite 3 Tent",$375.00,3-person,5 lbs. 9.2 oz.
"Coleman
PEAK1 2-Person Backpacking Tent",$319.95,2-person,4 lbs. 15.4 oz.
"Mountainsmith
Conifer 5+ Tent",$449.95,5-person,3-season
"Caddis
Rapid Shelter - 10' x 10'",$249.95,52 lbs. 14.4 oz.,100 sq. ft.
"Mountain Hardwear
AC 2 Tent",$750.00,2-person,3 lbs. 7.1 oz.
"Big Agnes
Wyoming Trail 2 Footprint",$55.73,1 lb. 6 oz.,86 x 76 in.
"Neso
Grande Sunshade",$149.95,5 lbs. 14 oz.,84 sq. ft.
"REI Co-op
Trailgate Shelter",$199.00,99.2 sq. ft.,75 in.
"Coghlan's
Nylon Tent Repair Kit",$6.95,99.2 sq. ft.,75 in.
"MSR
Access 1 Tent",$679.95,1-person,3 lbs.
"NEMO
Kunai 3P 3-4 Season Tent",$699.95,3-person,5 lbs. 3 oz.
"Sierra Designs
Convert 2 Tent",$349.73,2-person,5 lbs. 3 oz.
"Cedar Ridge
Ironwood 5 Tent",$149.73,5-person,3-season
"Mountain Hardwear
Aspect 3 Tent",$580.00,3-person,3 lbs. 10.7 oz.
"Kelty
Discovery Basecamp 4 Footprint",$29.95,14 ounces,95 x 76.5 in.
"Mountain Hardwear
Mineral King 3 All Season Tent with Footprint",$550.00,3-person,6 lbs. 9.9 oz.
"The North Face
Wawona 6 Footprint",$65.00,2 lbs. 0.2 oz.,116.1 x 93.7 in.
"Snow Peak
Takibi Hexa Tarp",$549.95,4-person,19 lbs. 6.4 oz.
"Big Agnes
Sage Canyon Shelter Plus",$243.73,9 lbs. 5 oz.,100 sq. ft.
"NEMO
Chogori 3P Tent",$899.95,3-person,8 lbs.
"NEMO
Chogori 2P Tent",$749.95,2-person,7 lbs. 1 oz.
"REI Co-op
Adjustable Tarp Pole - Single",$49.95 - $54.95,"(Length) 60 - 79 in. / (diameter) 19mm, (Length) 79 - 98 in. / (diameter) 28mm","13 oz., 1 lb. 11 oz."
"NEMO
Mayfly OSMO 2 Lightweight Backpacking Tent",$449.95,2-person,3 lbs.
"MSR
Elixir 4 Tent with Footprint",$489.95,4-person,8 lbs. 3 oz.
"REI Co-op
Kids' Overnight Bundle",$120.00 - $159.00,1-person,3-season
"MSR
Access 2 Tent",$799.95,2-person,3 lbs. 10 oz.
"REI Co-op
Half Dome 3 Plus Tent (2018-2020) Replacement Rainfly",$73.83,2-person,3 lbs. 10 oz.
"Kelty
Sideroads Car Awning",$129.95,8 lbs. 14 oz.,55 sq. ft. (Sprinter Van); 75 sq. ft. (Subaru Forester) sq. ft.
"MSR
Front Range 4-Person Ultralight Tarp Shelter",$379.95,4-person,1 lb. 10 oz.
"Kelty
Backroads Shelter",$169.95,11 lbs. 9 oz.,55 sq. ft. (Sprinter Van); 75 sq. ft. (Subaru Forester) sq. ft.
"Nite Ize
CamJam XT Aluminum Cord Tightener with Cord",$13.50,11 lbs. 9 oz.,55 sq. ft. (Sprinter Van); 75 sq. ft. (Subaru Forester) sq. ft.
"ENO
HouseFly Rain Tarp",$169.95,1-person,1 lb. 9 oz.
"Nite Ize
Figure 9 Tent Line Kit - Package of 4",$12.00,1-person,1 lb. 9 oz.
"Yakima
OverNOut 270 Awning - LH",$699.73,46 lbs. 8 oz.,80 sq. ft.
"MSR
Advance Pro 2 Tent",$799.95,2-person,2 lbs. 14 oz.
"Big Agnes
Copper Spur HV UL1 Bikepack Tent",$499.95,1-person,2 lbs. 14 oz.
"Mountain Hardwear
Nimbus UL 2 Tent",$420.00,2-person,2 lbs.
"Yakima
OverNOut 270 Awning - RH",$699.73,46 lbs. 8 oz.,80 sq. ft.
"Sea to Summit
Escapist Tarp Shelter",$229.00 - $249.00,2-person,"9.52 ounces, 12.3 ounces"
"NEMO
Mayfly OSMO 3 Lightweight Backpacking Tent",$499.95,3-person,3 lbs. 10 oz.
"Nite Ize
Gear Line Organization System",$19.95,4.5 ounces,48 x 3.95 x 1.65 in.
"NEMO
Hornet Elite OSMO 1P Tent",$579.95,1-person,1 lb. 7 oz.
"Mountain Hardwear
Trango 3 Tent","$1,050.00",3-person,10 lbs. 3.9 oz.
"Dometic
RT Awning L - Tall",$370.93,18 lbs. 4.2 oz.,10 lbs. 3.9 oz.
"REI Co-op
Base Camp Vehicle Connector",$199.00,7 lbs. 9.9 oz.,62.2 sq. ft.
"Kammok
Kuhli Shelter",$169.95,4-person,1 lb. 4.5 oz.
"SOL
Emergency Bivvy with Rescue Whistle and Tinder Cord",$25.50,4-person,1 lb. 4.5 oz.
"MSR
Access 3 Tent",$919.95,3-person,4 lbs. 6 oz.
"White Duck Outdoors
Rover 6-Person Scout Tent - 8' x 13'",$690.00,6-person,4-season
"ENO
Guardian Bug Net",$64.95,16 ounces,(L x W) 114 x 53 in.
"Big Agnes
Gold Camp 5 Tarp",$249.95,5-person,4 lbs. 8 oz.
"Marmot
Bird House 2-Shelf Hanging Tent Organizer",$30.00,2.2 ounces,6.5 x 13 in.
"Big Agnes
Blacktail Hotel 3 Tent",$349.95,3-person,6 lbs. 13 oz.
"Big Agnes
Tiger Wall Platinum 2 Tent",$649.95,2-person,1 lb. 15 oz.
"Big Agnes
Copper Spur UL4 Tent",$799.95,4-person,5 lbs.
"White Duck Outdoors
Regatta 13' 6-Person Bell Tent",$770.00,6-person,4-season
"Big Agnes
Gold Camp 3 Tarp",$199.95,3-person,3 lbs. 13 oz.
"Sea to Summit
Alto TR2 Tent",$410.00,2-person,2 lbs. 8.7 oz.
"Big Agnes
Tiger Wall UL2 Solution-Dyed Tent",$314.93,2-person,2 lbs. 3 oz.
"Dometic
RT Awning S - Low",$349.93,17 lbs. 6.7 oz.,2 lbs. 3 oz.
"MSR
Stake Hammer",$46.95,Stainless-steel/aluminum,11 ounces
"Caddis
Rapid Privacy Shelter",$199.95,Stainless-steel/aluminum,11 ounces
"BioLite
Luci Site Lights",$99.95,7.3 x 3.7 x 2.9 in.,1 lb. 4.8 oz.
"Big Agnes
Copper Spur UL3 Footprint",$90.00,7 ounces,90 x 70/62 (L x W head/foot) in.
"Sea to Summit
Mosquito Pyramid Net",$39.95 - $49.95,7 ounces,90 x 70/62 (L x W head/foot) in.
"REI Co-op
Base Camp 6 Footprint",$59.95,1 lb. 12.3 oz.,105.7 x 105.7 in.
"Dometic
HUB 2 REDUX",$524.93,19 lbs. 11.2 oz.,57 sq. ft.
"White Duck Outdoors
Regatta 10' 4-Person Bell Tent",$590.00,4-person,4-season
"Thule
Approach Awning - Small/Medium",$349.95,92 sq. ft.,4-season
"Neso
1 Sunshade",$109.95,3 lbs. 9 oz.,45.5 sq. ft.
"Sea to Summit
Mosquito Pyramid Net Shelter",$39.95 - $49.95,"1-person, 2-person","8.6 ounces, 12.3 ounces"
"The North Face
Wawona 8 Footprint",$90.00,1 lb. 12.2 oz.,166.5 x 94.1 in.
"Sea to Summit
Telos TR2 Tent",$449.00,2-person,3 lbs. 4.3 oz.
"REI Co-op
Trailmade 1 Footprint",$21.93,4.9 ounces,87.6 x 36 in.
"Zempire
Speedbase 2 Air Shelter",$600.00,21 lbs. 5 oz.,72 sq. ft.
